series,ubpr_code,group,regression_type,treated_post,std_err,t_stat,p_value,lower_CI,upper_CI
1_4_family_residential_loans,UBPRE415,real,DID,4.1800,1.7164,2.4354,0.0152,0.8074,7.5526
1_4_family_residential_loans,UBPRE415,real,SDID,0.3235,1.681e-15,1.924e+14,0.0000,0.3235,0.3235
1_4_family_residential_loans,UBPRE415,placebo,DID,-2.6866,2.1818,-1.2314,0.2188,-6.9738,1.6006
1_4_family_residential_loans,UBPRE415,placebo,SDID,-1.6181,5.181e-16,-3.123e+15,0.0000,-1.6181,-1.6181
commercial_industrial_loans,UBPRE423,real,DID,2.7197,3.9667,0.6856,0.4933,-5.0747,10.514
commercial_industrial_loans,UBPRE423,real,SDID,3.1666,9.045e-16,3.501e+15,0.0000,3.1666,3.1666
commercial_industrial_loans,UBPRE423,placebo,DID,-1.7171,3.3385,-0.5143,0.6073,-8.2772,4.8431
commercial_industrial_loans,UBPRE423,placebo,SDID,-3.3454,2.3e-16,-1.454e+16,0.0000,-3.3454,-3.3454
efficiency_ratio,UBPRE088,real,DID,-1.6735,3.0045,-0.5570,0.5778,-7.5773,4.2302
efficiency_ratio,UBPRE088,real,SDID,-2.3793,1.025e-15,-2.322e+15,0.0000,-2.3793,-2.3793
efficiency_ratio,UBPRE088,placebo,DID,-2.2557,2.7105,-0.8322,0.4057,-7.5817,3.0702
efficiency_ratio,UBPRE088,placebo,SDID,0.5705,3.483e-15,1.638e+14,0.0000,0.5705,0.5705
net_interest_margin,UBPRE018,real,DID,0.3365,0.2027,1.6601,0.0975,-0.0618,0.7348
net_interest_margin,UBPRE018,real,SDID,0.6569,1.938e-16,3.39e+15,0.0000,0.6569,0.6569
net_interest_margin,UBPRE018,placebo,DID,-0.2355,0.1838,-1.2815,0.2006,-0.5966,0.1256
net_interest_margin,UBPRE018,placebo,SDID,-0.0666,2.14e-16,-3.113e+14,0.0000,-0.0666,-0.0666
return_on_equity,UBPRE630,real,DID,2.2362,1.7309,1.2919,0.1970,-1.1650,5.6374
return_on_equity,UBPRE630,real,SDID,3.4984,1.035e-15,3.38e+15,0.0000,3.4984,3.4984
return_on_equity,UBPRE630,placebo,DID,-0.9863,1.4931,-0.6606,0.5092,-3.9202,1.9475
return_on_equity,UBPRE630,placebo,SDID,-0.3466,9.211e-16,-3.763e+14,0.0000,-0.3466,-0.3466
return_on_average_assets,UBPRE013,real,DID,-0.0895,0.1687,-0.5304,0.5961,-0.4209,0.2420
return_on_average_assets,UBPRE013,real,SDID,0.0648,9.556e-17,6.777e+14,0.0000,0.0648,0.0648
return_on_average_assets,UBPRE013,placebo,DID,0.2687,0.1308,2.0536,0.0406,0.0116,0.5258
return_on_average_assets,UBPRE013,placebo,SDID,0.1070,5.89e-17,1.817e+15,0.0000,0.1070,0.1070
total_risk_based_capital_ratio,UBPR7205,real,DID,-0.0164,0.0081,-2.0112,0.0449,-0.0324,-0.0004
total_risk_based_capital_ratio,UBPR7205,real,SDID,-0.0113,6.85e-18,-1.65e+15,0.0000,-0.0113,-0.0113
total_risk_based_capital_ratio,UBPR7205,placebo,DID,0.0147,0.0073,2.0052,0.0455,0.0003,0.0291
total_risk_based_capital_ratio,UBPR7205,placebo,SDID,-0.0008,1.128e-18,-7.245e+14,0.0000,-0.0008,-0.0008
tier_1_leverage_capital_ratio,UBPR7204,real,DID,-0.0168,0.0102,-1.6407,0.1015,-0.0369,0.0033
tier_1_leverage_capital_ratio,UBPR7204,real,SDID,-0.0093,1.349e-18,-6.876e+15,0.0000,-0.0093,-0.0093
tier_1_leverage_capital_ratio,UBPR7204,placebo,DID,0.0182,0.0083,2.1838,0.0295,0.0018,0.0346
tier_1_leverage_capital_ratio,UBPR7204,placebo,SDID,-0.0029,6.884e-19,-4.174e+15,0.0000,-0.0029,-0.0029
tier_1_risk_based_capital_ratio,UBPR7206,real,DID,-0.0168,0.0096,-1.7515,0.0805,-0.0356,0.0020
tier_1_risk_based_capital_ratio,UBPR7206,real,SDID,-0.0150,3.693e-18,-4.069e+15,0.0000,-0.0150,-0.0150
tier_1_risk_based_capital_ratio,UBPR7206,placebo,DID,0.0179,0.0082,2.1882,0.0291,0.0018,0.0340
tier_1_risk_based_capital_ratio,UBPR7206,placebo,SDID,0.0010,7.869e-19,1.213e+15,0.0000,0.0010,0.0010
short_term_investments_as_of_total_assets,UBPRE589,real,DID,-1.1244,1.8659,-0.6026,0.5471,-4.7909,2.5421
short_term_investments_as_of_total_assets,UBPRE589,real,SDID,-2.2360,2.418e-16,-9.248e+15,0.0000,-2.2360,-2.2360
short_term_investments_as_of_total_assets,UBPRE589,placebo,DID,2.7299,1.6500,1.6545,0.0987,-0.5124,5.9722
short_term_investments_as_of_total_assets,UBPRE589,placebo,SDID,1.8604,6.538e-16,2.845e+15,0.0000,1.8604,1.8604
